document_path,document_name,company_name,report_type,report_year,page_number,table_count
financebench/MGMRESORTS_2020_10K.pdf,MGMRESORTS_2020_10K,MGMRESORTS,10K,2020,56,1
financebench/JPMORGAN_2022_10K.pdf,JPMORGAN_2022_10K,JPMORGAN,10K,2022,251,1
financebench/KRAFTHEINZ_2019_10K.pdf,KRAFTHEINZ_2019_10K,KRAFTHEINZ,10K,2019,64,1
financebench/PAYPAL_2022_10K.pdf,PAYPAL_2022_10K,PAYPAL,10K,2022,86,1
financebench/AMCOR_2020_10K.pdf,AMCOR_2020_10K,AMCOR,10K,2020,1,1
financebench/AMERICANWATERWORKS_2021_10K.pdf,AMERICANWATERWORKS_2021_10K,AMERICANWATERWORKS,10K,2021,100,1
financebench/BESTBUY_2017_10K.pdf,BESTBUY_2017_10K,BESTBUY,10K,2017,38,1
financebench/WALMART_2019_10K.pdf,WALMART_2019_10K,WALMART,10K,2019,58,1
financebench/AMERICANEXPRESS_2022_10K.pdf,AMERICANEXPRESS_2022_10K,AMERICANEXPRESS,10K,2022,236,1
financebench/PFIZER_2021_10K.pdf,PFIZER_2021_10K,PFIZER,10K,2021,95,1
financebench/AMCOR_2023_10K.pdf,AMCOR_2023_10K,AMCOR,10K,2023,59,1
financebench/PEPSICO_2021_10K.pdf,PEPSICO_2021_10K,PEPSICO,10K,2021,109,1
financebench/JOHNSON-JOHNSON_2022_10K.pdf,JOHNSON-JOHNSON_2022_10K,JOHNSON-JOHNSON,10K,2022,11,1
financebench/ADOBE_2015_10K.pdf,ADOBE_2015_10K,ADOBE,10K,2015,39,1
financebench/MGMRESORTS_2022_10K.pdf,MGMRESORTS_2022_10K,MGMRESORTS,10K,2022,49,1
financebench/COCACOLA_2022_10K.pdf,COCACOLA_2022_10K,COCACOLA,10K,2022,31,1
financebench/COSTCO_2021_10K.pdf,COSTCO_2021_10K,COSTCO,10K,2021,26,1
financebench/ACTIVISIONBLIZZARD_2019_10K.pdf,ACTIVISIONBLIZZARD_2019_10K,ACTIVISIONBLIZZARD,10K,2019,104,1
financebench/AMERICANWATERWORKS_2021_10K.pdf,AMERICANWATERWORKS_2021_10K,AMERICANWATERWORKS,10K,2021,95,1
financebench/PAYPAL_2022_10K.pdf,PAYPAL_2022_10K,PAYPAL,10K,2022,99,1
financebench/AMERICANWATERWORKS_2022_10K.pdf,AMERICANWATERWORKS_2022_10K,AMERICANWATERWORKS,10K,2022,179,1
financebench/AMERICANWATERWORKS_2022_10K.pdf,AMERICANWATERWORKS_2022_10K,AMERICANWATERWORKS,10K,2022,167,1
financebench/BESTBUY_2017_10K.pdf,BESTBUY_2017_10K,BESTBUY,10K,2017,32,1
financebench/AMAZON_2017_10K.pdf,AMAZON_2017_10K,AMAZON,10K,2017,54,1
financebench/NIKE_2023_10K.pdf,NIKE_2023_10K,NIKE,10K,2023,7,1
financebench/GENERALMILLS_2022_10K.pdf,GENERALMILLS_2022_10K,GENERALMILLS,10K,2022,76,1
financebench/MICROSOFT_2023_10K.pdf,MICROSOFT_2023_10K,MICROSOFT,10K,2023,92,1
financebench/ACTIVISIONBLIZZARD_2019_10K.pdf,ACTIVISIONBLIZZARD_2019_10K,ACTIVISIONBLIZZARD,10K,2019,61,1
financebench/3M_2018_10K.pdf,3M_2018_10K,3M,10K,2018,83,1
financebench/AMERICANEXPRESS_2022_10K.pdf,AMERICANEXPRESS_2022_10K,AMERICANEXPRESS,10K,2022,124,1
financebench/NIKE_2021_10K.pdf,NIKE_2021_10K,NIKE,10K,2021,94,1
financebench/AMCOR_2020_10K.pdf,AMCOR_2020_10K,AMCOR,10K,2020,71,1
financebench/CORNING_2021_10K.pdf,CORNING_2021_10K,CORNING,10K,2021,29,1
financebench/COCACOLA_2021_10K.pdf,COCACOLA_2021_10K,COCACOLA,10K,2021,30,1
financebench/BESTBUY_2019_10K.pdf,BESTBUY_2019_10K,BESTBUY,10K,2019,61,1
financebench/VERIZON_2021_10K.pdf,VERIZON_2021_10K,VERIZON,10K,2021,90,1
financebench/CVSHEALTH_2018_10K.pdf,CVSHEALTH_2018_10K,CVSHEALTH,10K,2018,360,1
financebench/WALMART_2020_10K.pdf,WALMART_2020_10K,WALMART,10K,2020,11,1
financebench/BESTBUY_2017_10K.pdf,BESTBUY_2017_10K,BESTBUY,10K,2017,12,1
